First Name,Last Name,Position,GP,Salary,PS,draft_overall,age,position_group,predicted_value_total
Michael,Sgarbossa,C,38,600000,0.4,300.0,25,F,0.5318613961181211
Curtis,Lazar,C/RW,37,832500,-0.3,17.0,22,F,-0.0652500434471337
Mike,Liambas,LW,1,575000,-0.1,300.0,28,F,-0.022871116440333024
David,Savard,D,74,3500000,7.1,94.0,27,D,4.310180918530015
John,Moore,D,63,1750000,4.7,21.0,27,D,3.103436847888903
Phillip,Danault,LW/C,82,875000,3.9,26.0,24,F,4.727976694029944
Dmitrij,Jaskin,RW/LW,51,1000000,0.6,41.0,24,F,0.5558374431904005
Gabriel,Dumont,C,39,575000,0.1,139.0,27,F,0.16209735176268167
Matt,Niskanen,D,78,5750000,7.4,28.0,31,D,5.2581548306545205
Mark,Pysyk,D,82,1250000,4.3,23.0,25,D,2.675915596052423
Oscar,Lindberg,C,65,700000,1.8,57.0,26,F,2.0259128302025973
Nikita,Tryamkin,D,66,925000,2.2,66.0,23,D,1.7832693991199093
Jonathan,Toews,C,72,13800000,6.3,3.0,29,F,6.729863841980512
Andrew,Ladd,LW,78,8000000,3.1,4.0,32,F,4.421668794027356
Jon,Merrill,D,51,1000000,1.3,38.0,25,D,1.0974364315468228
Mitchell,Marner,C/RW,77,925000,6.6,4.0,20,F,7.250384720095078
Frank,Corrado,D,4,600000,-0.1,150.0,24,D,-0.03935861580403005
Nikita,Zadorov,D,56,832500,0.8,16.0,22,D,1.397794703174344
Kevin,Klein,D,60,2750000,2.8,37.0,33,D,3.086050768442666
Nikolay,Kulemin,LW/RW,72,4250000,2.2,44.0,31,F,2.6955737959486346
Alex,Galchenyuk,C/LW,61,3100000,4.9,3.0,23,F,5.105737125004188
Matt,Irwin,D,74,575000,4.0,300.0,30,D,2.831291583450293
Nick,Schultz,D,28,2250000,1.1,33.0,35,D,1.014644009214648
