First Name,Last Name,Position,GP,Salary,PS,position_group,predicted_value_total,replacement_level,value_above_replacement,fair_market_salary,surplus_value
Lauri,Korpikoski,LW/RW,69,1000000,1.8,F,1.9751619019566375,0.1316814807474696,1.843480421209168,1994307.672788431,994307.6727884309
Mark,Streit,D,68,4000000,3.9,D,4.448183700693576,0.6185429142735327,3.8296407864200437,3090375.399623693,-909624.600376307
Daniel,O'Regan,C/LW,3,792500,0.1,F,0.1207270661857761,0.1316814807474696,-0.010954414561693507,970933.0195581081,178433.01955810806
Calle,Jarnkrok,C,81,1700000,2.9,F,3.356923882683565,0.1316814807474696,3.2252424019360952,2756836.5902769007,1056836.5902769007
Brian,Strait,D,5,600000,0.2,D,0.2309623245767639,0.6185429142735327,-0.3875805896967688,763090.892166178,163090.89216617798
Cam,Fowler,D,80,4000000,8.3,D,6.368234692283075,0.6185429142735327,5.749691778009542,4149960.497897393,149960.49789739307
Carl,Hagelin,LW,61,3667000,1.5,F,2.2544430841077383,0.1316814807474696,2.1227616033602685,2148429.7144070193,-1518570.2855929807
Jonathan,Drouin,LW,73,832500,5.5,F,6.07841436759893,0.1316814807474696,5.946732886851461,4258698.142673892,3426198.142673892
Oscar,Klefbom,D,82,3000000,7.6,D,6.484386431454063,0.6185429142735327,5.86584351718053,4214059.135122787,1214059.1351227872
Seth,Jones,D,75,5400000,7.8,D,6.234121425033167,0.6185429142735327,5.615578510759634,4075949.745015689,-1324050.2549843108
Chris,Kreider,LW/C,75,5000000,6.8,F,6.494519197631853,0.1316814807474696,6.362837716884383,4488326.667725511,-511673.3322744891
Eric,Gelinas,D,27,1650000,0.2,D,-0.1934749964909041,0.6185429142735327,-0.8120179107644367,528864.0604182316,-1121135.9395817684
Brett,Pesce,D,82,792500,6.5,D,4.0817725240146805,0.6185429142735327,3.463229609741148,2888170.445510217,2095670.445510217
Sean,Malone,C,1,925000,0.0,F,0.0023068491600591,0.1316814807474696,-0.1293746315874105,905582.5169701988,-19417.483029801166
David,Desharnais,C,49,3500000,1.4,F,1.0610997212829263,0.1316814807474696,0.9294182405354567,1489880.0978021855,-2010119.9021978145
Colin,Wilson,LW/C,70,4000000,3.8,F,3.5938588058134053,0.1316814807474696,3.4621773250659356,2887589.739494657,-1112410.2605053429
Kevin,Hayes,C/RW,76,2600000,5.3,F,5.6588500300710205,0.1316814807474696,5.527168549323551,4027160.479476926,1427160.479476926
Martin,Hanzal,C,71,3500000,3.7,F,5.150803800852941,0.1316814807474696,5.019122320105471,3746793.8558447175,246793.85584471747
Anthony,Deangelo,D,39,925000,1.7,D,1.9223377958284504,0.6185429142735327,1.3037948815549179,1696480.813982953,771480.8139829531
Tanner,Richard,C,3,575000,-0.1,F,-0.0295065401944772,0.1316814807474696,-0.1611880209419468,888026.2158962674,313026.21589626744
Bryan,Rust,RW,57,620000,3.3,F,3.2629372312221885,0.1316814807474696,3.1312557504747187,2704969.8139457805,2084969.8139457805
Kevan,Miller,D,58,2500000,3.1,D,1.9350569525509695,0.6185429142735327,1.316514038277437,1703499.9134677183,-796500.0865322817
Mike,Hoffman,LW/C,74,3800000,8.3,F,7.493477787180304,0.1316814807474696,7.361796306432835,5039604.545195732,1239604.5451957323
Yohann,Auvitu,D/LW,25,792500,1.3,F,0.1563867632125426,0.1316814807474696,0.024705282465073003,990611.9154541162,198111.91545411618
Chris,Didomenico,C/RW,3,575000,-0.1,F,-0.0247285462837177,0.1316814807474696,-0.1564100270311873,890662.9641751724,315662.9641751724
Colton,Sissons,C,58,575000,1.4,F,0.7976889620082452,0.1316814807474696,0.6660074812607757,1344516.1900335918,769516.1900335918
Ivan,Barbashev,C,30,742500,1.5,F,1.0855280628636783,0.1316814807474696,0.9538465821162088,1503360.9411901399,760860.9411901399
Jamie,Benn,LW,77,5750000,7.5,F,8.837763285973029,0.1316814807474696,8.70608180522556,5781451.969345148,31451.96934514772
Bracken,Kearns,C,2,800000,-0.1,F,-0.0193090248671708,0.1316814807474696,-0.1509905056146404,893653.7410649019,93653.74106490193
Blake,Pietila,LW/C,10,675000,-0.3,F,-0.0310758258158255,0.1316814807474696,-0.1627573065632951,887160.201573419,212160.20157341904
Jake,Gardiner,D,82,4050000,8.7,D,5.8203709650024535,0.6185429142735327,5.2018280507289205,3847620.4851299906,-202379.51487000939
Nikita,Soshnikov,RW,56,742500,0.5,F,0.6279494877807001,0.1316814807474696,0.49626800703323054,1250845.0228259806,508345.02282598056
Evan,McEneny,D,1,575000,-0.1,D,-0.0293497297588544,0.6185429142735327,-0.6478926440323871,619437.0127206652,44437.012720665196
Tommy,Wingels,C/RW/LW,73,2600000,0.4,F,1.5590046046298158,0.1316814807474696,1.4273231238823463,1764650.193525176,-835349.806474824
Joe,Morrow,D,17,800000,0.1,D,0.0790031857385915,0.6185429142735327,-0.5395397285349413,679231.8489612171,-120768.1510387829
Slater,Koekkoek,D,29,832500,0.5,D,0.2619690271085009,0.6185429142735327,-0.3565738871650318,780202.0210336648,-52297.978966335184
Jesse,Puljujarvi,RW,28,925000,0.7,F,0.4679989288025687,0.1316814807474696,0.3363174480550991,1162575.8937788021,237575.89377880213
Jori,Lehtera,C,64,4400000,1.4,F,2.1959431341749833,0.1316814807474696,2.0642616534275136,2116146.365959492,-2283853.634040508
Connor,Murphy,D,77,2400000,2.5,D,2.957577956220983,0.6185429142735327,2.3390350419474504,2267780.7700212672,-132219.22997873276
Matt,Moulson,LW,81,5000000,3.5,F,3.678253784355667,0.1316814807474696,3.546572303608197,2934163.3263547025,-2065836.6736452975
Ryan,Ellis,D,71,2500000,8.7,D,6.439688947838446,0.6185429142735327,5.821146033564913,4189392.713357481,1689392.7133574812
Chris,Terry,LW/RW,14,600000,0.4,F,0.2782728858244201,0.1316814807474696,0.1465914050769505,1057875.0869905094,457875.0869905094
Josh,Jooris,RW/C,54,600000,0.6,F,0.855247882404393,0.1316814807474696,0.7235664016569234,1376280.2289011176,776280.2289011176
Vernon,Fiddler,C/LW,59,1250000,-0.9,F,0.084097461507509,0.1316814807474696,-0.0475840192399606,950718.8776198161,-299281.1223801839
Jason,Dickinson,C,10,925000,0.1,F,0.1158354059078615,0.1316814807474696,-0.015846074839608107,968233.5442009433,43233.54420094332
Antoine,Vermette,C/LW,72,1750000,2.0,F,3.213374232855211,0.1316814807474696,3.0816927521077413,2677618.3452996598,927618.3452996598
Zach,Redmond,D,16,575000,1.2,D,0.4889630694527951,0.6185429142735327,-0.1295798448207376,905469.2695174206,330469.26951742056
Ryan,Garbutt,C/LW,27,2000000,0.0,F,-0.0167524831554976,0.1316814807474696,-0.1484339639029672,895064.5752108021,-1104935.4247891977
Stephen,Johns,D,61,650000,1.3,D,2.9239487196035014,0.6185429142735327,2.305405805329969,2249222.3889458226,1599222.3889458226
Matt,Martin,LW/RW,82,3500000,0.2,F,0.6961420893933418,0.1316814807474696,0.5644606086458721,1288477.286134495,-2211522.713865505
Trevor,Lewis,C/RW/LW,82,2000000,2.2,F,2.3408382488190966,0.1316814807474696,2.209156768071627,2196107.1091699963,196107.10916999634
Matt,Hunwick,D,72,1200000,3.6,D,3.127682094615188,0.6185429142735327,2.5091391803416556,2361653.1780910017,1161653.1780910017
Chris,Kunitz,LW,71,3550000,1.9,F,2.903176758085796,0.1316814807474696,2.7714952773383263,2506435.067757792,-1043564.9322422082
Scott,Laughton,C/LW,2,832500,0.0,F,-0.0544149906410921,0.1316814807474696,-0.1860964713885617,874280.4231907971,41780.4231907971
Danton,Heinen,C,8,767500,-0.3,F,-0.1377369551490696,0.1316814807474696,-0.26941843589653924,828298.9818966491,60798.981896649115
Brett,Ritchie,RW,78,875000,3.1,F,2.6319138477782844,0.1316814807474696,2.5002323670308146,2356737.930163414,1481737.9301634142
Ryan,Johansen,C/RW,82,6000000,5.8,F,6.682671884997749,0.1316814807474696,6.550990404250279,4592159.214155964,-1407840.7858440364
Joe,Thornton,C,79,6750000,4.3,F,5.497367085487331,0.1316814807474696,5.365685604739861,3938045.6994759077,-2811954.3005240923
Christian,Dvorak,C/LW,78,792500,3.6,F,4.009656200177022,0.1316814807474696,3.8779747194295524,3117048.6053782124,2324548.6053782124
Trevor,Daley,D,56,2700000,3.2,D,2.9033325360614715,0.6185429142735327,2.284789621787939,2237845.2948165014,-462154.70518349856
Austin,Watson,LW,77,575000,1.4,F,2.0303722257100256,0.1316814807474696,1.898690744962556,2024775.6325333584,1449775.6325333584
Andrew,MacDonald,D,73,4750000,3.7,D,4.196854632789846,0.6185429142735327,3.578311718516314,2951678.804439337,-1798321.195560663
Anthony,Bitetto,D,29,575000,0.9,D,0.667909252617467,0.6185429142735327,0.049366338343934335,1004221.182828471,429221.18282847095
Kevin,Porter,C,2,575000,-0.1,F,-0.0315341045522153,0.1316814807474696,-0.1632155852996849,886907.2992692295,311907.2992692295
Frederik,Gauthier,C,21,832500,0.3,F,0.2329632258607654,0.1316814807474696,0.1012817451132958,1032870.8341265827,200370.83412658272
Tyler,Seguin,C/RW,82,6000000,7.5,F,8.266726930001742,0.1316814807474696,8.135045449254273,5466324.0815910855,-533675.9184089145
Ryan,Murray,D,60,2825000,2.4,D,1.983207502031812,0.6185429142735327,1.3646645877582793,1730071.9185483516,-1094928.0814516484
Luca,Sbisa,D,82,3600000,3.7,D,2.7020610194722963,0.6185429142735327,2.0835181051987637,2126773.0885995775,-1473226.9114004225
Joel,Hanley,D,7,600000,-0.2,D,-0.0957487252830056,0.6185429142735327,-0.7142916395565383,582794.5555641032,-17205.444435896818
Michal,Rozsival,D,22,600000,0.4,D,0.4320310554551483,0.6185429142735327,-0.1865118588183844,874051.1905649042,274051.19056490425
Johnny,Boychuk,D,66,7000000,4.8,D,4.386884486798724,0.6185429142735327,3.7683415725251916,3056547.2701295344,-3943452.7298704656
Tyler,Gaudet,C,4,874125,0.0,F,0.001821518555185,0.1316814807474696,-0.1298599621922846,905314.6860225244,31189.686022524373
Jordan,Nolan,C/LW/RW,46,1000000,0.5,F,0.4869909130310046,0.1316814807474696,0.355309432283535,1173056.6693223936,173056.6693223936
Jack,Eichel,C,61,925000,6.6,F,7.009226080590153,0.1316814807474696,6.877544599842683,4772368.990325514,3847368.990325514
Mark,Borowiecki,D,70,1100000,1.3,D,1.2405992381974833,0.6185429142735327,0.6220563239239506,1320261.6303526377,220261.63035263773
Dylan,Strome,C,7,925000,-0.3,F,-0.0513683518376061,0.1316814807474696,-0.1830498325850757,875961.7186824984,-49038.28131750156
Adam,Cracknell,RW/C,69,600000,1.9,F,2.1775582415210297,0.1316814807474696,2.04587676077356,2106000.6154691027,1506000.6154691027
Jake,Muzzin,D,82,4000000,5.4,D,5.194335668278667,0.6185429142735327,4.575792754005134,3502141.289885942,-497858.7101140581
Daniel,Winnik,LW/C,72,1800000,3.0,F,3.2774274633487797,0.1316814807474696,3.14574598260131,2712966.285966116,912966.285966116
Martin,Frk,RW,2,650000,-0.2,F,-0.0303026165773815,0.1316814807474696,-0.1619840973248511,887586.8990884806,237586.89908848063
Niklas,Hjalmarsson,D,73,4100000,4.4,D,4.958795967507015,0.6185429142735327,4.340253053233482,3372158.097729737,-727841.9022702631
Cristoval,Nieves,C/LW,1,742500,-0.1,F,-0.0096547202193877,0.1316814807474696,-0.1413362009668573,898981.4940171905,156481.49401719053
Zack,Kassian,RW,79,1500000,2.0,F,2.0532034423291017,0.1316814807474696,1.9215219615816321,2037375.0983866088,537375.0983866088
Andrei,Markov,D,62,4250000,7.5,D,5.082564761931935,0.6185429142735327,4.464021847658402,3440460.2265681904,-809539.7734318096
Bo,Horvat,C,81,832500,5.7,F,5.993356179960056,0.1316814807474696,5.861674699212586,4211758.562161132,3379258.5621611318
Paul,Carey,C,6,575000,-0.2,F,-0.092780535207227,0.1316814807474696,-0.22446201595469661,853108.2983422903,278108.29834229033
Cole,Schneider,LW/RW,4,600000,0.2,F,0.0265527386300581,0.1316814807474696,-0.10512874211741151,918962.6736896485,318962.6736896485
Jaycob,Megna,D,1,925000,0.1,D,-0.0232773343352327,0.6185429142735327,-0.6418202486087654,622788.0798172576,-302211.9201827424
A.J.,Greer,LW,5,725000,-0.1,F,0.0476249262255468,0.1316814807474696,-0.0840565545219228,930591.4148335094,205591.41483350936
